timestamp, cpu_temp, cpu_util, cpu_freq, amb_temp, amb_humid, heatsink, cover, starttime
2018-03-29T01:24:59,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:01,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:04,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:06,46.7,0,600000000,22,49,False,False,2018-03-29T00:37:42
2018-03-29T01:25:09,47.2,0,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:25:11,46.2,0.25,600000000,22,51,False,False,2018-03-29T00:37:42
2018-03-29T01:25:14,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:16,46.7,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:19,47.2,0.25,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:25:21,47.2,0,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:25:24,47.2,0,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:25:26,46.7,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:29,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:31,47.2,0.25,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:25:34,46.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:36,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:39,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:41,46.7,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:43,46.7,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:46,46.7,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:48,47.2,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:25:51,47.2,0.25,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:25:53,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:25:56,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:25:58,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:26:01,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:26:03,47.2,3.02,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:26:05,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:26:08,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:26:10,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:26:13,47.2,0,600000000,22,51,False,False,2018-03-29T00:37:42
2018-03-29T01:26:15,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:26:18,47.2,0,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:26:20,47.2,0,600000000,22,51,False,False,2018-03-29T00:37:42
2018-03-29T01:26:23,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:26:25,46.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:26:27,46.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:26:30,47.2,0,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:26:32,46.2,0,600000000,22,51,False,False,2018-03-29T00:37:42
2018-03-29T01:26:35,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:26:37,47.2,0.25,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:26:40,46.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:26:42,46.7,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:26:44,46.7,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:26:47,46.7,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
